Velocity_m_s,X,U_magnitude,U_x,U_y,U_z,p,k,epsilon,nut
5.0,0.051862899378,8.001326353339138,8.00068970224585,-0.10077198572735005,-0.005719082895666361,-7.578467669626339,0.44025846710123284,165.93483340656675,0.00045349334743304817
5.0,0.05279450663199999,8.001134774123727,8.000494466532942,-0.10107779431318395,-0.0054077873937785625,-7.580477042442457,0.4407922469887642,163.4042308706176,0.0004557991360897315
5.0,0.05373335687499999,8.000789074139565,8.000145084566006,-0.10138359442716185,-0.005079522263258696,-7.582854063724228,0.4414980986403072,161.08465231946525,0.00045795604459535695
5.0,0.07633931629800002,7.901340980492245,7.900506793772648,-0.11466154279921631,0.005867040250450373,-7.6288839337072885,0.655579166970806,245.30036832335685,0.0004971766959755135
5.0,0.07746122105399998,7.899120589327359,7.89828042587339,-0.11504203291360582,0.006142447702586651,-7.616527748318146,0.6571019765523758,241.9206511241239,0.000501482025062032
5.0,0.07859184831199997,7.896337430446912,7.895491691593114,-0.11538797268128573,0.0064326683059334755,-7.606955254188767,0.6593427900346979,239.35881519723608,0.0005057646221202435
5.0,0.07973126588999999,7.892739817608139,7.891888462121999,-0.11572908560901275,0.00671629561111331,-7.598072923675218,0.6624975752012375,237.5794362201682,0.0005102244899743082
5.0,0.08087954213199999,7.888209947665239,7.887353304272828,-0.11604406074303271,0.006914332043379545,-7.587661702099898,0.6659440143487967,236.29502890713047,0.0005144285493381543
5.0,0.082036745907,7.8834640167522485,7.882602244414863,-0.11634719010440833,0.007077508606016636,-7.577147520148647,0.6695164692570624,235.16432744370013,0.0005185243144898942
5.0,0.083202946631,7.878884187546812,7.878017001189779,-0.11666931548488767,0.00724158575758338,-7.5663789931591365,0.673296431479555,234.10010180210597,0.0005227013490818903
5.0,0.11267671252000003,7.574129882342538,7.572871119033339,-0.13746862049764075,0.012994902208447456,-7.672278676260696,1.2376936300639494,431.24138257740333,0.0007023771545049855
5.0,0.11408113065,7.571735572070309,7.570458997603993,-0.13838971033286007,0.013357657939195633,-7.669844298057174,1.2472120324366265,429.92108693258587,0.0007090067115329514
5.0,0.1154964678,7.568473847428419,7.5671793780131775,-0.13929669929326752,0.01375026348978281,-7.665428285221004,1.2570986275363927,428.5728022495372,0.0007159128578323776
5.0,0.11692280877000001,7.564064780285664,7.562752414301298,-0.14018631128567546,0.014132178388535976,-7.659271818906765,1.2677176254204277,427.5163608271964,0.0007229621281040199
5.0,0.11836023916999998,7.558241921968731,7.556910903419179,-0.14109431025016475,0.014523925259709358,-7.64999363160539,1.2791243239286203,426.703609641169,0.0007305891626316018
5.0,0.11980884517999998,7.552319315605258,7.550969221785231,-0.14201451768863313,0.014924251474440098,-7.638150837679794,1.2905203253939166,425.87139233889695,0.0007380265359444681
5.0,0.14597592738545453,7.3549074512248,7.35191765969079,-0.20910441674943564,0.01567431353032589,-5.911176236222525,1.9939358849795037,543.3069228999336,0.0011069272084584193
5.0,0.15992251389999998,7.153772053784945,7.150535425686086,-0.21231738507906628,0.03491491824388504,-6.56994728044566,2.3035215309045673,570.650327518215,0.001253681573401223
5.0,0.16169425533999998,7.163631963862355,7.160325657879971,-0.21481517203342418,0.034840043634176254,-6.473261845781883,2.3048910076946454,561.8713021197395,0.0012603941072106268
5.0,0.16347977159000002,7.173915313041665,7.170536145279041,-0.21739962183867795,0.034780919551849365,-6.369795130467737,2.3031940839542386,551.9856926028456,0.0012667839535366603
5.0,0.16527916973000004,7.187325970315341,7.1838721060148965,-0.2200744748192492,0.03468996286392212,-6.263856425853838,2.298661243939356,542.1339965943441,0.001272087540621621
5.0,0.16709255769999998,7.20221562533044,7.198675738458066,-0.22310791604850008,0.03464655950665474,-6.143194387481786,2.2947026232295404,531.9666406581199,0.0012782816280858605
5.0,0.16892004428999993,7.2196297651370385,7.2159903258515,-0.22652148945622474,0.035008251667022705,-6.005412248244288,2.2888575445395523,520.9419441025483,0.001286535622686008
5.0,0.1707617391,7.2352125960648905,7.2314670717083525,-0.23008609064076357,0.03529436141252518,-5.8586843097683525,2.285152333967657,509.8591313158695,0.001295919242993247
5.0,0.24082421168999998,6.801864664530287,6.793915514098209,-0.32436040430818813,0.053527843207120895,0.042552165172534684,2.5743353746679736,350.1080132337972,0.002001811527689933
5.0,0.24422606744999995,6.7424773652848815,6.734313308927981,-0.3273606782212205,0.05348144471645355,0.2867009527782296,2.6227187889961376,352.38309144140635,0.0020635034475974257
5.0,0.24667734905999997,6.433960433934798,6.424747453130331,-0.3404637081825563,0.050512298941612244,4.355925260006698,2.34438688988166,227.06618180112434,0.0022457950460546524
5.0,0.24776031304999996,6.674189614745943,6.66583541594009,-0.3296315761642614,0.05280383676290512,0.5260833566794321,2.6707705184047104,353.8869936921909,0.0021272787871679587
8.0,-0.014525308774999999,8.691468926847874,8.691306252880596,-0.04894586416114732,-0.020785268396139145,-6.458678143218485,0.5821004389480802,433.5288368398484,0.0004562747525618195
8.0,-0.013185175893299997,8.944000329367519,8.943762805840997,-0.06073667987563716,-0.02366052195429802,-6.443937884467028,0.4204257921524208,81.87273416250565,0.0007054630517382466
8.0,-0.011898585760699998,9.094672797668563,9.094445145544897,-0.05903600561587487,-0.02560354210436344,-6.6593446249373605,0.3583165655221363,59.13880490253729,0.0006843964128012228
8.0,-0.010663399167000001,9.157915540817765,9.157695195072066,-0.057297640068792996,-0.027436241507530212,-6.771748676993292,0.33278295389811485,59.22308383144994,0.0006617543369839365
