Velocity_m_s,Y,U_magnitude,U_x,U_y,U_z,p,k,epsilon,nut
15.0,-0.010562757603599997,3.6380152004721187,3.6173837835601477,-0.3857579779458544,-0.029663845896720886,10.212687083793659,3.1958267249196366,166.5475112262035,0.004505278561076617
15.0,-0.009664348224399998,4.024838703816092,3.9988389907476183,-0.4556325415227652,-0.031816739588975906,10.295895992539325,3.2940974710054016,168.38589362007315,0.00459752337582399
15.0,-0.008774473310499999,4.424098711904947,4.3929999582128385,-0.5230899659784579,-0.024034710600972176,10.375703917908343,3.3584543531406723,171.0855662800646,0.004645466491834007
15.0,-0.00789224805186,4.971961564418174,4.936385501340029,-0.5937018690699951,-0.004250985104590654,10.373954061656217,3.3466074419578717,170.36501558894255,0.004596911074495001
15.0,-0.0070168793716299995,6.033662191939326,5.993250755515726,-0.6950258089631407,0.05444219708442688,10.213665912573058,3.1614701718908087,148.23550107180688,0.004262275715096167
15.0,0.01296221430742,7.993506238084529,7.971254575447605,-0.5956528019558353,0.020981211215257645,10.616618033703535,0.520623741995119,39.05195563761873,0.0005766835747580109
15.0,0.013749135752619998,8.04464498349684,8.019932941311325,-0.6290478755509057,0.03587893024086952,10.824093064117546,0.5834298337397164,24.701047717968606,0.000709099493330891
15.0,0.014491974147600001,8.061935530239266,8.037076727847575,-0.6315438198765848,0.036804456263780594,10.915480505738547,0.5734716271713964,21.874229098097146,0.000699753312576711
15.0,0.015196183525900001,8.066309057222012,8.042154558313449,-0.6229286200786458,0.03243148326873779,10.935094692422782,0.5427441033874887,24.66772814142172,0.0006454157648100583
15.0,0.0158666269146,8.053411639948852,8.030128232904595,-0.6113193308225504,0.027717888355255127,10.871150187166405,0.5170721195140691,29.39150568345042,0.0005936891807410514
15.0,0.0165076485459,7.973177908068201,7.951682863843975,-0.5847639254460891,0.018887510523200035,10.325362405881153,0.5242037537642377,46.623057296493585,0.0005600270468748946
15.0,0.0171231375913,7.643042162438247,7.625567985349054,-0.5164617891728956,0.00858009047806263,8.59768071581475,0.5988289801220146,126.08741133619523,0.000550860185725986
15.0,0.0177165844685,7.121612337404016,7.104946549491022,-0.4830120212755246,0.06161331385374069,7.723128700713787,0.6378450527047499,309.2156608826704,0.0005486085441753559
15.0,0.0181923320103,6.177847659915931,6.16288293366673,-0.4217559276329667,0.08244751393795013,7.452872288194329,0.6108714506093151,820.2463845329873,0.00026915493958583727
20.0,-0.014263276299500003,4.074801388637058,4.068214165676342,0.1709945901721659,-0.15620726346969604,5.797333382085158,1.7468414445768823,160.35793216129542,0.0025291831452259905
20.0,-0.013319648166600001,3.6949558758528838,3.682589107811115,0.2456554304554482,-0.17575493454933167,6.049572669094072,1.6600741195526758,150.4718326506286,0.002393621572478484
20.0,-0.0123892425478,3.7585110778654647,3.7474326503176147,0.23093493680392818,-0.17269368469715118,5.971539987467136,1.6787279058588185,152.81318622807598,0.0024201008244302243
20.0,-0.011470688600299999,4.0002655426032945,3.992925877228573,0.1807971036440238,-0.16118237376213074,5.838155995795098,1.7400148866712244,159.9954555558311,0.0025176780071567667
20.0,-0.010562757603599997,4.318990826712543,4.314639320965356,0.12579551018282215,-0.14746111631393433,5.674741894476479,1.7985436100811354,167.53185674661768,0.0026207449259382683
20.0,-0.009664348224399998,4.630262502654666,4.627693769075172,0.07049257280389573,-0.1371569186449051,5.522051656970595,1.8562217973135988,173.80875121699984,0.0027232996423652137
20.0,-0.008774473310499999,4.994148307470047,4.992731275719091,0.0024274621177167166,-0.11893625557422638,5.423984014520345,1.9062736950342303,174.95031792113343,0.0028406926170977767
20.0,-0.00789224805186,5.582576487411853,5.580964891910729,-0.09875020270982778,-0.09077174961566925,5.312828650859268,1.93609983339203,171.3892659052434,0.0029387025864233305
20.0,-0.0070168793716299995,6.576450853700536,6.571097225467977,-0.2626658921179142,-0.03733247518539429,5.096433678835478,1.9419822113175111,165.40419242312493,0.0029023423656780773
20.0,0.01296221430742,9.528299549291939,9.500224461424875,-0.7264439919056038,0.08066356182098389,5.860529426526547,0.9031161943320192,97.42335471398883,0.0010465421606632836
20.0,0.013749135752619998,9.488518042023845,9.461320767249903,-0.7124169704983707,0.08857783675193787,5.691375871923144,0.9716761718376655,95.66311890272442,0.001160945385861712
20.0,0.014491974147600001,9.490297696133476,9.462970180794574,-0.7142028377420138,0.08865678310394287,5.733167911638427,0.9705835416661254,94.4343778519301,0.0011603574751210344
20.0,0.015196183525900001,9.513928571155805,9.486207607022767,-0.7208259992088273,0.08433251082897186,5.825961067981044,0.9432173402254421,93.41817531213925,0.0011139218438122422
20.0,0.0158666269146,9.514981111500138,9.487028666801711,-0.7242534410448149,0.0812993273139,5.865974102844622,0.9196324796237583,95.08742076463398,0.0010694985823827374
20.0,0.0165076485459,9.44173320505515,9.414803609670175,-0.7073284010264032,0.08651843667030334,5.537806945181574,0.9235772120487631,106.1535589147432,0.0010537674822013632
20.0,0.0171231375913,9.321028819614915,9.296787876042561,-0.6614250048170995,0.11760275065898895,4.604902724695017,0.9667213219920532,140.26918231447044,0.0010981193767694666
20.0,0.0177165844685,9.232146510619474,9.20715450378742,-0.6571088313998636,0.17042042315006256,4.401379210078728,0.9905863481038656,200.33406668679015,0.0011456205353192659
20.0,0.0181923320103,8.810930059076444,8.785235540218403,-0.6454868682472004,0.18833935260772705,4.220689391984009,1.097820807657755,345.6585876596189,0.0011714312412453684
